show_id,type,date_added,release_year,rating,duration
s1,Movie,25-Sep-21,2020,PG-13,90 min
s2,TV Show,24-Sep-21,2021,TV-MA,2 Seasons
s3,TV Show,24-Sep-21,2021,TV-MA,1 Season
s4,TV Show,24-Sep-21,2021,TV-MA,1 Season
s5,TV Show,24-Sep-21,2021,TV-MA,2 Seasons
s6,TV Show,24-Sep-21,2021,TV-MA,1 Season
s7,Movie,24-Sep-21,2021,PG,91 min
s8,Movie,24-Sep-21,1993,TV-MA,125 min
s9,TV Show,24-Sep-21,2021,TV-14,9 Seasons
s10,Movie,24-Sep-21,2021,PG-13,104 min
s11,TV Show,24-Sep-21,2021,TV-MA,1 Season
s12,TV Show,23-Sep-21,2021,TV-MA,1 Season
s13,Movie,23-Sep-21,2021,TV-MA,127 min
s14,Movie,22-Sep-21,2021,TV-PG,91 min
s15,TV Show,22-Sep-21,2021,TV-MA,1 Season
s16,TV Show,22-Sep-21,2021,TV-MA,4 Seasons
s17,Movie,22-Sep-21,2020,TV-MA,67 min
s18,TV Show,22-Sep-21,2020,TV-MA,2 Seasons
s19,Movie,22-Sep-21,2021,TV-14,94 min
s20,TV Show,22-Sep-21,2021,TV-MA,1 Season
s21,TV Show,22-Sep-21,2021,TV-14,1 Season
s22,TV Show,22-Sep-21,2018,TV-14,5 Seasons
s23,Movie,21-Sep-21,1996,TV-PG,161 min
s24,Movie,21-Sep-21,2021,TV-Y,61 min
s25,Movie,21-Sep-21,1998,TV-14,166 min
s26,TV Show,21-Sep-21,2021,TV-14,2 Seasons
s27,Movie,21-Sep-21,1997,TV-PG,147 min
s28,Movie,20-Sep-21,2010,PG-13,103 min
s29,Movie,19-Sep-21,2013,PG-13,97 min
s30,Movie,19-Sep-21,2013,PG-13,106 min
s31,Movie,17-Sep-21,2021,TV-14,111 min
s32,TV Show,17-Sep-21,2021,TV-MA,1 Season
s33,TV Show,17-Sep-21,2020,TV-MA,3 Seasons
s34,TV Show,17-Sep-21,2021,TV-MA,1 Season
s35,TV Show,17-Sep-21,2020,TV-Y7,1 Season
s36,Movie,17-Sep-21,2021,TV-MA,110 min
s37,Movie,17-Sep-21,2021,TV-MA,105 min
s38,TV Show,16-Sep-21,2018,TV-Y7,1 Season
s39,Movie,16-Sep-21,2017,PG-13,96 min
s40,TV Show,16-Sep-21,2021,TV-Y7,3 Seasons
s41,TV Show,16-Sep-21,2021,TV-Y7,1 Season
s42,Movie,16-Sep-21,1975,PG,124 min
s43,Movie,16-Sep-21,1978,PG,116 min
s44,Movie,16-Sep-21,1983,PG,98 min
s45,Movie,16-Sep-21,1987,PG-13,91 min
s46,Movie,16-Sep-21,2021,PG,23 min
s47,Movie,16-Sep-21,2012,R,115 min
s48,TV Show,16-Sep-21,2020,TV-MA,1 Season
s49,Movie,16-Sep-21,2001,R,122 min
s50,TV Show,15-Sep-21,2021,TV-MA,2 Seasons
s51,TV Show,15-Sep-21,2014,TV-PG,1 Season
s52,Movie,15-Sep-21,2002,TV-14,99 min
s53,Movie,15-Sep-21,2003,TV-14,99 min
s54,Movie,15-Sep-21,2004,TV-PG,88 min
s55,Movie,15-Sep-21,2001,TV-PG,100 min
s56,TV Show,15-Sep-21,2021,TV-PG,6 Seasons
s57,Movie,15-Sep-21,2011,TV-14,102 min
s58,Movie,15-Sep-21,2008,TV-PG,93 min
s59,Movie,15-Sep-21,2009,TV-PG,96 min
s60,Movie,15-Sep-21,2007,TV-PG,95 min
s61,Movie,15-Sep-21,2010,TV-14,85 min
s62,Movie,15-Sep-21,2005,TV-PG,97 min
s63,Movie,15-Sep-21,2006,TV-PG,95 min
s64,Movie,15-Sep-21,2004,TV-PG,83 min
s65,Movie,15-Sep-21,2021,TV-PG,103 min
s66,TV Show,15-Sep-21,2021,TV-Y,6 Seasons
s67,TV Show,15-Sep-21,2014,TV-G,1 Season
s68,TV Show,15-Sep-21,1994,TV-PG,9 Seasons
s69,Movie,15-Sep-21,2021,TV-14,113 min
s70,TV Show,15-Sep-21,2015,TV-PG,1 Season
s71,TV Show,15-Sep-21,2021,TV-MA,1 Season
s72,Movie,14-Sep-21,2021,TV-Y,13 min
s73,TV Show,14-Sep-21,2021,TV-MA,5 Seasons
s74,Movie,14-Sep-21,2018,TV-MA,182 min
s75,TV Show,14-Sep-21,2021,TV-PG,2 Seasons
s76,Movie,14-Sep-21,2021,TV-G,106 min
s77,TV Show,14-Sep-21,2013,TV-14,1 Season
s78,Movie,11-Sep-21,2021,TV-Y7,48 min
s79,Movie,11-Sep-21,2020,TV-14,145 min
s80,Movie,11-Sep-21,2021,TV-14,145 min
s81,Movie,10-Sep-21,2021,TV-Y7,93 min
s82,Movie,10-Sep-21,2021,R,106 min
s83,TV Show,10-Sep-21,2021,TV-14,6 Seasons
s84,TV Show,10-Sep-21,2021,TV-MA,1 Season
s85,Movie,10-Sep-21,2020,TV-MA,147 min
s86,TV Show,10-Sep-21,2021,TV-Y7,1 Season
s87,Movie,10-Sep-21,2021,TV-MA,87 min
s88,TV Show,10-Sep-21,2019,TV-Y,2 Seasons
s89,Movie,9-Sep-21,2021,PG-13,96 min
s90,TV Show,9-Sep-21,2017,TV-Y7,4 Seasons
s91,Movie,9-Sep-21,2019,TV-MA,95 min
s92,Movie,9-Sep-21,2021,TV-14,92 min
s93,TV Show,8-Sep-21,2021,TV-MA,2 Seasons
s94,Movie,8-Sep-21,2021,TV-MA,91 min
s95,Movie,8-Sep-21,2018,PG,90 min
s96,TV Show,8-Sep-21,2021,TV-MA,3 Seasons
s97,Movie,7-Sep-21,2018,TV-MA,97 min
s98,TV Show,7-Sep-21,2021,TV-Y7,2 Seasons
s99,TV Show,7-Sep-21,2021,TV-Y,1 Season
s100,TV Show,7-Sep-21,2021,TV-MA,1 Season
s101,TV Show,7-Sep-21,2019,TV-Y7,2 Seasons
s102,Movie,7-Sep-21,2021,TV-MA,80 min
s103,TV Show,6-Sep-21,2021,TV-14,1 Season
s104,Movie,6-Sep-21,2020,TV-MA,117 min
s105,TV Show,6-Sep-21,2016,TV-Y,2 Seasons
s106,Movie,5-Sep-21,2017,TV-14,128 min
s107,TV Show,5-Sep-21,2021,TV-G,5 Seasons
s108,Movie,4-Sep-21,2018,G,90 min
s109,TV Show,3-Sep-21,2021,TV-G,1 Season
s110,TV Show,3-Sep-21,2021,TV-MA,5 Seasons
s111,TV Show,3-Sep-21,2021,TV-MA,1 Season
s112,TV Show,3-Sep-21,2021,TV-Y,1 Season
s113,Movie,3-Sep-21,2021,PG-13,119 min
s114,Movie,2-Sep-21,2021,TV-PG,110 min
s115,Movie,2-Sep-21,1994,TV-14,143 min
s116,Movie,2-Sep-21,2009,PG,119 min
s117,Movie,2-Sep-21,2015,TV-PG,114 min
s118,Movie,2-Sep-21,2021,PG-13,94 min
s119,Movie,2-Sep-21,2017,TV-14,106 min
s120,Movie,2-Sep-21,2020,TV-MA,99 min
s121,TV Show,2-Sep-21,2021,TV-Y7,1 Season
s122,TV Show,2-Sep-21,2019,TV-14,1 Season
s123,Movie,2-Sep-21,2003,R,118 min
s124,TV Show,2-Sep-21,2012,TV-Y7,1 Season
s125,TV Show,2-Sep-21,2013,TV-Y7,3 Seasons
s126,TV Show,2-Sep-21,2021,TV-MA,1 Season
s127,Movie,2-Sep-21,2020,TV-14,115 min
s128,Movie,1-Sep-21,2004,PG,95 min
s129,Movie,1-Sep-21,2017,PG-13,115 min
s130,Movie,1-Sep-21,2005,PG-13,108 min
s131,Movie,1-Sep-21,2021,TV-Y,63 min
s132,Movie,1-Sep-21,1982,R,117 min
s133,TV Show,1-Sep-21,2021,TV-MA,1 Season
s134,Movie,1-Sep-21,2015,R,121 min
